正面（重要性+中文）,背面（考点词+命题）,重要性排行,考点词,常考中文词义,雅思阅读真题命题方式
"95 adj.天生的;内在的,直觉的","innate,inborn,built-in",95,innate,"adj.天生的;内在的,直觉的","inborn,built-in"
96 n.模式,"pattern,formation",96,pattern,n.模式,formation
"97 n.治疗,理疗","therapy,treatment",97,therapy,"n.治疗,理疗",treatment
"98 adj.原始的,最初的","original,first,initial",98,original,"adj.原始的,最初的","first,initial"
"99 adj.机密的,秘密的","confidential,undisclosed,secret,hidden",99,confidential,"adj.机密的,秘密的","undisclosed,secret,hidden"
100 adj.认知的,"cognitive,mental",100,cognitive,adj.认知的,mental
"101 照做,遵守","comply with,obey",101,comply with,"照做,遵守",obey
"102 v.查阅,商量,请教,咨询","consult,ask for advice",102,consult,"v.查阅,商量,请教,咨询",ask for advice
103 adj.上级的;优秀的,"superior,higher,upper",103,superior,adj.上级的;优秀的,"higher,upper"
"104 n.合作,协作","co-operation,support,work together",104,co-operation,"n.合作,协作","support,work together"
105 v.使协调,"co-ordinate,organize,harmonize",105,co-ordinate,v.使协调,"organize,harmonize"
106 v.使…相异;使……不同,"differ,vary",106,differ,v.使…相异;使……不同,vary
107 n.线索,"cue,clue,hint",107,cue,n.线索,"clue,hint"
108 n.信号,"signal,symbol,sign,mark",108,signal,n.信号,"symbol,sign,mark"
"109 v.放弃,遗弃","abandon,give up,quit,forsake,derelict",109,abandon,"v.放弃,遗弃","give up,quit,forsake,derelict"
110 n.停止,"halt,stop,quit",110,halt,n.停止,"stop,quit"
111 adj.脆弱的,"fragile,vulnerable",111,fragile,adj.脆弱的,vulnerable
112 n.记住,"retain,maintain",112,retain,n.记住,maintain
"113 n./v. 消失,绝迹","vanish,disappear",113,vanish,"n./v. 消失,绝迹",disappear
114 n.递送,"delivery,send",114,delivery,n.递送,send
115 v.侵蚀,"erode,rust,damage",115,erode,v.侵蚀,"rust,damage"
"116 v.引起,引诱","induce,cause,lead to",116,induce,"v.引起,引诱","cause,lead to"
117 adj. 稳定的,"stable,unchanged,constant",117,stable,adj. 稳定的,"unchanged,constant"
118 v.使… 成整体,"integrate,combine,whole",118,integrate,v.使… 成整体,"combine,whole"
119 adj.平等的;相等的;胜任的,"equal,fair,even",119,equal,adj.平等的;相等的;胜任的,"fair,even"
120 v.拨款;授予,"grant,offer",120,grant,v.拨款;授予,offer
"121 v.累积,积聚","accumulate,gather",121,accumulate,"v.累积,积聚",gather
122 adj.上瘾的,"addictive,habit",122,addictive,adj.上瘾的,habit
"123 n.逆境,不幸","adversity,trouble",123,adversity,"n.逆境,不幸",trouble
"124 n.侵犯,侵害","aggression,attack",124,aggression,"n.侵犯,侵害",attack
125 adj.令人愉快的;适合的;和蔼可亲的,"agreeable,pleasant",125,agreeable,adj.令人愉快的;适合的;和蔼可亲的,pleasant
"126 n.援助,帮助","aid,help",126,aid,"n.援助,帮助",help
127 adj.过敏的;对······极讨厌的,"allergic,irritate",127,allergic,adj.过敏的;对······极讨厌的,irritate
128 n.高度;海拔,"altitude,height",128,altitude,n.高度;海拔,height
129 n.应用,"application,utilization",129,application,n.应用,utilization
130 v.批准,"approve,agree",130,approve,v.批准,agree
131 n.排列;大批,"array,order",131,array,n.排列;大批,order
132 v.分配;指派,"assign,allocate",132,assign,v.分配;指派,allocate
"133 n.协会,联盟;联系","association,union",133,association,"n.协会,联盟;联系",union
"134 n.看法,态度","attitude,opinion",134,attitude,"n.看法,态度",opinion
"135 n.当局,权威","authority,government",135,authority,"n.当局,权威",government
136 与……一致,"be consistent with,compatible",136,be consistent with,与……一致,compatible
137 v.承担;忍受,"bear,tolerate",137,bear,v.承担;忍受,tolerate
138 v损害;枯萎,"blight,destory",138,blight,v损害;枯萎,destory
139 n.边界;底线,"boundary,barrier",139,boundary,n.边界;底线,barrier
"140 搞糟,拙劣地工作","bungle,mishandle",140,bungle,"搞糟,拙劣地工作",mishandle
141 n.负担,"burden,load",141,burden,n.负担,load
142 n.灾难,"calamity,disaster",142,calamity,n.灾难,disaster
143 n.容量,"capacity,volume",143,capacity,n.容量,volume
144 adj.灾难的,"catastrophic,disastrous",144,catastrophic,adj.灾难的,disastrous
145 v.迎合;满足需要,"cater,serve",145,cater,v.迎合;满足需要,serve
"146 v.证明,保证","certify,verify",146,certify,"v.证明,保证",verify
147 adj.市民的,"civic,municipal",147,civic,adj.市民的,municipal
148 n.评论;意见v.评论,"comment,remark",148,comment,n.评论;意见v.评论,remark
"149 n.承诺,许诺,义务;致力","commitment,engagement",149,commitment,"n.承诺,许诺,义务;致力",engagement
"150 adj.公共的,公社的","communal,public",150,communal,"adj.公共的,公社的",public
151 v.通勤;用…交换,"commute,travel",151,commute,v.通勤;用…交换,travel
152 v.与……相比较,"compare,contrast",152,compare,v.与……相比较,contrast
153 v.隐藏;隐瞒,"conceal,hide",153,conceal,v.隐藏;隐瞒,hide
154 v.专心于;集中,"concentrate,focus",154,concentrate,v.专心于;集中,focus
155 v.同意,"concur,agree",155,concur,v.同意,agree
"156 v.授予,给予","confer,grant",156,confer,"v.授予,给予",grant
"157 n.冲突,矛盾","conflict,unharmonious",157,conflict,"n.冲突,矛盾",unharmonious
"158 v.使混乱,使迷惑","confuse,puzzle",158,confuse,"v.使混乱,使迷惑",puzzle
159 adj.保守的,"conservative,traditional",159,conservative,adj.保守的,traditional
"160 adj.相当大的,重要的","considerable,significant",160,considerable,"adj.相当大的,重要的",significant
161 adj.因情况而异的,"contingent,uncertain",161,contingent,adj.因情况而异的,uncertain
162 adj.有争论的,"controversial,disputable",162,controversial,adj.有争论的,disputable
"163 n.相关,关联","correlation,link",163,correlation,"n.相关,关联",link
164 n.求爱(时期),"courtship,mate",164,courtship,n.求爱(时期),mate
165 n.碰撞,"crash,collapse",165,crash,n.碰撞,collapse
166 n.可信性,"credibility,reliance",166,credibility,n.可信性,reliance
"167 n.罪犯,犯人","criminal,conviction",167,criminal,"n.罪犯,犯人",conviction
168 n.危机,"crisis,risk",168,crisis,n.危机,risk
169 n.批评,"criticism,condemn",169,criticism,n.批评,condemn
"170 v.限制,抑制","curb,restrict",170,curb,"v.限制,抑制",restrict
171 adj.潮湿的,"damp,wet",171,damp,adj.潮湿的,wet
172 v.使目眩;使……眼花,"dazzle,flash",172,dazzle,v.使目眩;使……眼花,flash
173 n.最后期限,"deadline,limit",173,deadline,n.最后期限,limit
"174 n.延期,耽搁","delay,postpone",174,delay,"n.延期,耽搁",postpone
175 adj.民主的,"democratic,republic",175,democratic,adj.民主的,republic
176 adj.人口统计学的;人口学的,"demographic,population statistic",176,demographic,adj.人口统计学的;人口学的,population statistic
"177 adj.牙科的,牙齿的","dental,teeth",177,dental,"adj.牙科的,牙齿的",teeth
"178 n.抑郁,沮丧","depression,frustration",178,depression,"n.抑郁,沮丧",frustration
"179 v.指定,指派,标出","designate,appoint",179,designate,"v.指定,指派,标出",appoint
180 v.留住,"detain,hold",180,detain,v.留住,hold
 n.企业家,"entrepreneur,boss",,entrepreneur,n.企业家,boss
"181 v.毁坏,毁灭","devastate,wreck",181,devastate,"v.毁坏,毁灭",wreck
182 v.公开:揭露,"disclose,expose",182,disclose,v.公开:揭露,expose
183 adj.不同的,"disparate,different",183,disparate,adj.不同的,different
184 n.显示,"display,show",184,display,n.显示,show
185 v.破坏,"disrupt,destory",185,disrupt,v.破坏,destory
"186 v.转移,分心","distract,divert",186,distract,"v.转移,分心",divert
"187 v.分配,分发","distribute,spread",187,distribute,"v.分配,分发",spread
188 n.文件;文献,"documentation,record",188,documentation,n.文件;文献,record
189 n.领域,"domain,field",189,domain,n.领域,field
"190 adj.占优势的,占支配地位的","dominant,overbearing",190,dominant,"adj.占优势的,占支配地位的",overbearing
191 adj.戏剧化的;激动人心的;引人注意的,"dramatic,striking",191,dramatic,adj.戏剧化的;激动人心的;引人注意的,striking
192 n.干旱,"drought,dry",192,drought,n.干旱,dry
193 adj.持久的,"durable,lasting",193,durable,adj.持久的,lasting
"194 adj.生态友好的,环保的","eco-friendly,environmentally-friendly",194,eco-friendly,"adj.生态友好的,环保的",environmentally-friendly
"195 v.详细阐述,详细叙述","elaborate,illustrate",195,elaborate,"v.详细阐述,详细叙述",illustrate
196 adj.高龄的,"elderly,aged",196,elderly,adj.高龄的,aged
"197 v.消除,排除","eliminate,dispose",197,eliminate,"v.消除,排除",dispose
"198 adj.难懂的,难捉摸的;行踪隐秘的","elusive,hard",198,elusive,"adj.难懂的,难捉摸的;行踪隐秘的",hard
199 n.百科全书,"encyclopedia,entire range of knowledge",199,encyclopedia,n.百科全书,entire range of knowledge
200 n.企业家,"entrepreneur,boss",200,entrepreneur,n.企业家,boss
201 n.赤道,"equator,geography",201,equator,n.赤道,geography
"202 adv.不定地,无规律地","erratically,unpredictably",202,erratically,"adv.不定地,无规律地",unpredictably
"203 adj.确定的;已制定的,已建立的","established,built",203,established,"adj.确定的;已制定的,已建立的",built
204 n.房地产,"estate,property",204,estate,n.房地产,property
205 adj.道德的,"ethical,moral",205,ethical,adj.道德的,moral
"206 adv最后,终于","eventually,finally",206,eventually,"adv最后,终于",finally
207 n.迹象;证据,"evidence,proof",207,evidence,n.迹象;证据,proof
"208 v.进化,发展;逐渐形成","evolve,develop",208,evolve,"v.进化,发展;逐渐形成",develop
"209 adj.异常的,特别出色的","exceptional,extreme, utmost",209,exceptional,"adj.异常的,特别出色的","extreme, utmost"
"210 adj.疲惫的,耗尽的","exhausted,fatigue",210,exhausted,"adj.疲惫的,耗尽的",fatigue
"211 n.实验,试验","experiment,test",211,experiment,"n.实验,试验",test
212 adj.明确的,"explicit,clear",212,explicit,adj.明确的,clear
"213 v.开发,利用","exploit,use",213,exploit,"v.开发,利用",use
"214 v.扩展,延伸,推广","extend,expand",214,extend,"v.扩展,延伸,推广",expand
215 n.摘录.提取,"extract,quotation",215,extract,n.摘录.提取,quotation
216 n.饥荒,"famine,hunger",216,famine,n.饥荒,hunger
217 adj.有限的,"finite,limited",217,finite,adj.有限的,limited
218 n.健康,"fitness,health",218,fitness,n.健康,health
"219 n.敌人,危害物","foe,enemy",219,foe,"n.敌人,危害物",enemy
220 n.格式,"format,structure",220,format,n.格式,structure
221 n.碎片,"fragment,piece",221,fragment,n.碎片,piece
"222 n.冰冻,冻结","freeze,chill",222,freeze,"n.冰冻,冻结",chill
"223 v.满足,实现","fulfill,execute",223,fulfill,"v.满足,实现",execute
224 n.基因,"gene,factor",224,gene,n.基因,factor
"225 adj.有天赋的,有才华的","gifted,talented",225,gifted,"adj.有天赋的,有才华的",talented
226 adj.形象的;图解的,"graphic,picture",226,graphic,adj.形象的;图解的,picture
"227 n.栖息地,住处","habitat,residence",227,habitat,"n.栖息地,住处",residence
228 v.怀有n.海港,"harbor,hold",228,harbor,v.怀有n.海港,hold
229 n.困苦;苦难,"hardship,difficult",229,hardship,n.困苦;苦难,difficult
230 adj.艰难的;严酷的,"harsh,rough",230,harsh,adj.艰难的;严酷的,rough
231 n.假设,"hypothesis,assumption",231,hypothesis,n.假设,assumption
232 n.影响,"impact,influence",232,impact,n.影响,influence
233 adj.感人的;给人深刻印象的,"impressive,touching",233,impressive,adj.感人的;给人深刻印象的,touching
234 依照;与··一致,"in accordance with,conform",234,in accordance with,依照;与··一致,conform
235 adj.错误的,"inaccurate,incorrect",235,inaccurate,adj.错误的,incorrect
"236 adj.不活跃的,不活动的","inactive,passive",236,inactive,"adj.不活跃的,不活动的",passive
237 adj.不适当的,"inappropriate,hard",237,inappropriate,adj.不适当的,hard
238 v.沉溺(于),"indulge,spoil",238,indulge,v.沉溺(于),spoil
239 v.侵害;寄生于,"infest,plague",239,infest,v.侵害;寄生于,plague
240 n.安装;分期付款,"installment,payment on its completion",240,installment,n.安装;分期付款,payment on its completion
241 n.智力,"intelligence,mind",241,intelligence,n.智力,mind
242 adj.强烈的;紧张的;热情的,"intense,strong",242,intense,adj.强烈的;紧张的;热情的,strong
"243 n.相互作用,交流互动","interaction,social activities",243,interaction,"n.相互作用,交流互动",social activities
244 n.干涉,"interference,interdependence",244,interference,n.干涉,interdependence
245 n.内部adj.内部的,"interior,inner",245,interior,n.内部adj.内部的,inner
246 v.中断,"interrupt,stop",246,interrupt,v.中断,stop
"247 ad.内向的,含蓄的","introverted,shyness",247,introverted,"ad.内向的,含蓄的",shyness
"248 v:包含,牵涉","involve,associate",248,involve,"v:包含,牵涉",associate
"249 ad.热切的;急迫的,强烈的","keen,strong",249,keen,"ad.热切的;急迫的,强烈的",strong
250 v.打上标签,"label,display",250,label,v.打上标签,display
251 v.缺乏;不足,"lack,shortage",251,lack,v.缺乏;不足,shortage
252 n.风景,"landscape,scene",252,landscape,n.风景,scene
253 n.可能性,"likelihood,chance",253,likelihood,n.可能性,chance
254 n.四肢,"limb,arm or leg",254,limb,n.四肢,arm or leg
255 adj.语言(学)的,"linguistic,language",255,linguistic,adj.语言(学)的,language
256 v.记录n.原木,"log,record",256,log,v.记录n.原木,record
257 n.成功的机会,"look-in,opportunity,chance",257,look-in,n.成功的机会,"opportunity,chance"
258 adj.不平衡的,"lopsided,uneven",258,lopsided,adj.不平衡的,uneven
"259 adv.主要地,大体上","mainly,primarily",259,mainly,"adv.主要地,大体上",primarily
260 v.发生故障;不起作用,"malfunction,breakdown",260,malfunction,v.发生故障;不起作用,breakdown
261 n.哺乳动物,"mammal,creature",261,mammal,n.哺乳动物,creature
262 设法完成某事,"manage to do,success",262,manage to do,设法完成某事,success
"263 v.出现,表现","manifest,obvious",263,manifest,"v.出现,表现",obvious
264 n.生产,"manufacture,produce",264,manufacture,n.生产,produce
"265 adj.海产的;航海的,海运的","marine,sea",265,marine,"adj.海产的;航海的,海运的",sea
266 n.配偶,"mate,spouse",266,mate,n.配偶,spouse
"267 n.机制,原理","mechanism,method",267,mechanism,"n.机制,原理",method
"268 adj.精神的的,心理的","mental,intelligent",268,mental,"adj.精神的的,心理的",intelligent
"269 n. 汞,水银","mercury,liquid metal",269,mercury,"n. 汞,水银",liquid metal
270 adj.气象学的,"meteorological,weather",270,meteorological,adj.气象学的,weather
"271 v.转移,迁移","migrate,move",271,migrate,"v.转移,迁移",move
"272 n. 水分,湿度","moisture,humidity",272,moisture,"n. 水分,湿度",humidity
273 v.监控,"monitor,surveillance",273,monitor,v.监控,surveillance
274 n.主题;图形,"motif,theme",274,motif,n.主题;图形,theme
"275 v.模压,塑造;塑造成","mould,form",275,mould,"v.模压,塑造;塑造成",form
276 adj.本国的;土著的;天然的;天赋的,"native,original",276,native,adj.本国的;土著的;天然的;天赋的,original
"277 adj.夜间的,夜间发生的","nocturnal,night",277,nocturnal,"adj.夜间的,夜间发生的",night
278 n.规范,"norm,regulation",278,norm,n.规范,regulation
279 n.名声,"notoriety,famous",279,notoriety,n.名声,famous
"280 n.目标,目的adj.客观的","objective,goal",280,objective,"n.目标,目的adj.客观的",goal
281 n.义务,"obligation,responsibility",281,obligation,n.义务,responsibility
"282 v.掩盖,使模糊不清","obscure,hide",282,obscure,"v.掩盖,使模糊不清",hide
283 v.获得,"obtain,get",283,obtain,v.获得,get
284 adj.古怪的,"odd,strange",284,odd,adj.古怪的,strange
285 n.气味,"odour,smell",285,odour,n.气味,smell
"286 adj.冒犯的,无礼的","offensive,hostile",286,offensive,"adj.冒犯的,无礼的",hostile
287 n.官员adj.官方的,"official,authority",287,official,n.官员adj.官方的,authority
288 n.最佳效果adj.最适宜的,"optimum,best",288,optimum,n.最佳效果adj.最适宜的,best
289 adj.普通的;平凡的;平常的,"ordinary,common",289,ordinary,adj.普通的;平凡的;平常的,common
290 n.器官;机构,"organ,a part of a body",290,organ,n.器官;机构,a part of a body
291 不可能,"out of the question,impossible",291,out of the question,不可能,impossible
292 n.克服,"overcome,defeat",292,overcome,n.克服,defeat
293 v:赶上,"overtake,surpass",293,overtake,v:赶上,surpass
294 v.使… 麻痹;使… 瘫疾,"paralyse,cannot move",294,paralyse,v.使… 麻痹;使… 瘫疾,cannot move
"295 adj.最重要的,主要的","paramount,principal",295,paramount,"adj.最重要的,主要的",principal
296 v.参加,"participate,join",296,participate,v.参加,join
"297 adj.有耐性的,能容忍的n.病人;患者","patient,repetitive",297,patient,"adj.有耐性的,能容忍的n.病人;患者",repetitive
"298 n.最高峰,顶点v.使······达到顶峰","peak,top",298,peak,"n.最高峰,顶点v.使······达到顶峰",top
"299 n.许可证,执照v.许可","permit,allow",299,permit,"n.许可证,执照v.许可",allow
"300 v.说服,劝说","persuade,influence",300,persuade,"v.说服,劝说",influence
301 adj.悲观的,"pessimistic,negative",301,pessimistic,adj.悲观的,negative
302 n.阶段,"phase,process",302,phase,n.阶段,process
303 adj.身体上的;物质的,"physical,body",303,physical,adj.身体上的;物质的,body
304 n.抄袭,"plagiarise,copy",304,plagiarise,n.抄袭,copy
305 大量的,"plent of,many",305,plent of,大量的,many
306 v.密谋,"plot,plan",306,plot,v.密谋,plan
"307 v.提出,造成,形成","pose,cause",307,pose,"v.提出,造成,形成",cause
308 adj.便携的,"portable,conveyable",308,portable,adj.便携的,conveyable
309 n.贫穷,"poverty,poor",309,poverty,n.贫穷,poor
310 n.赞扬,"praise,commend",310,praise,n.赞扬,commend
"311 v.预测,预知","predict,expect",311,predict,"v.预测,预知",expect
312 adj.迫切的,"pressing,urgent",312,pressing,adj.迫切的,urgent
313 ad.私人的;私有的;私下的,"private,personal",313,private,ad.私人的;私有的;私下的,personal
314 v.禁止,"prohibit,not allowed",314,prohibit,v.禁止,not allowed
"315 v.拉长,延长","prolong,extend",315,prolong,"v.拉长,延长",extend
"316 v.促进,推销","promote,improve",316,promote,"v.促进,推销",improve
"317 v.使成功,使繁荣","prosper,success",317,prosper,"v.使成功,使繁荣",success
318 v.净化,"purify,clean",318,purify,v.净化,clean
319 取得资格,"qualify,fulfill",319,qualify,取得资格,fulfill
"320 adj.彻底的,根本的","radical,utmost",320,radical,"adj.彻底的,根本的",utmost
321 n.范围;幅度,"range,scope",321,range,n.范围;幅度,scope
322 adj.稀有的,"rare,unusual",322,rare,adj.稀有的,unusual
323 n.等级v.评估,"rate,rank,measure",323,rate,n.等级v.评估,"rank,measure"
324 v.反应,"react,respond",324,react,v.反应,respond
"325 n.娱乐,消遣","recreation,entertainment",325,recreation,"n.娱乐,消遣",entertainment
"326 n.下降,减少","redunction,decrease",326,redunction,"n.下降,减少",decrease
"327 指(的是),涉及,提及","refer to,talk about",327,refer to,"指(的是),涉及,提及",talk about
328 n.排演;预演;练习,"rehearsal,preparation",328,rehearsal,n.排演;预演;练习,preparation
